accountType,description,deviceID,deviceToken,disabled,email,firstTimeUser,lastSignInTime,name,osType,phoneNumber,photoURL,profile,status,tenantId
enterprise,Administrator -North America,,,FALSE,QA1test01@Import.com,TRUE,,CHRISTA COSSS,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test02@Import.com,TRUE,,David Pye,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test03@Import.com,TRUE,,Enea Acconciamessa,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test04@Import.com,TRUE,,scott adams,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test05@Import.com,TRUE,,Lawrence Afolayan,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test06@Import.com,TRUE,,Ruth Allaby,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test07@Import.com,TRUE,,bettyjo Amirault,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test08@Import.com,TRUE,,Moussa Arezki,,,,,Offline,
enterprise,Administrator -North America,,,FALSE,QA1test09@Import.com,TRUE,,airuh argosino,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test10@Import.com,TRUE,,Darrell Armstrong,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test11@Import.com,TRUE,,jason atkinson,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test12@Import.com,TRUE,,andre arongaus,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test13@Import.com,TRUE,,amira azha,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test14@Import.com,TRUE,,Oussama Azzouni,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test15@Import.com,TRUE,,Aliyu Bakare,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test16@Import.com,TRUE,,Janarthan Balakrish,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test17@Import.com,TRUE,,alicia barton,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test18@Import.com,TRUE,,Kathryn beale,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test19@Import.com,TRUE,,christian beaudoin,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test20@Import.com,TRUE,,arsene bokanga,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test21@Import.com,TRUE,,joseph boudrea,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test22@Import.com,TRUE,,Pamela Boyle,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test23@Import.com,TRUE,,Angela Branscombe,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test24@Import.com,TRUE,,debra buckley,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test25@Import.com,TRUE,,Garthur bungay,,,,,Offline,
enterprise,Technician,,,FALSE,QA1test26@Import.com,TRUE,,lorraine butler,,,,,Offline,
