accountType,group,description,deviceID,deviceToken,disabled,email,firstTimeUser,lastSignInTime,name,osType,phoneNumber,photoURL,profile,status,tenantId
enterprise,admin,Administrator -North America,,,FALSE,QA1test01@gmail.com,TRUE,,CHRISTA COSSS,,+919012321321,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Administrator -North America,,,FALSE,QA1test02@gmail.com,TRUE,,David Pye,,+919012321321,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Administrator -North America,,,FALSE,QA1test03@gmail.com,TRUE,,Enea Acconciamessa,,+919012321321,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Administrator -North America,,,FALSE,QA1test04@gmail.com,TRUE,,scott adams,,uniqueError,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Administrator -North America,,,FALSE,QA1test05@gmail.com,TRUE,,Lawrence Afolayan,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Administrator -North America,,,FALSE,QA1test06@gmail.com,TRUE,,Ruth Allaby,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Administrator -North America,,,FALSE,QA1test07@gmail.com,TRUE,,bettyjo Amirault,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Administrator -North America,,,FALSE,QA1test08@gmail.com,TRUE,,Moussa Arezki,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Administrator -North America,,,FALSE,QA1test09@gmail.com,TRUE,,airuh argosino,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test10@gmail.com,TRUE,,Darrell Armstrong,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test11@gmail.com,TRUE,,jason atkinson,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test12@gmail.com,TRUE,,andre arongaus,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test13@gmail.com,TRUE,,amira azha,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test14@gmail.com,TRUE,,Oussama Azzouni,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test15@gmail.com,TRUE,,Aliyu Bakare,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test16@gmail.com,TRUE,,Janarthan Balakrish,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test17@gmail.com,TRUE,,alicia barton,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test18@gmail.com,TRUE,,Kathryn beale,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test19@gmail.com,TRUE,,christian beaudoin,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test20@gmail.com,TRUE,,arsene bokanga,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test21@gmail.com,TRUE,,joseph boudrea,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test22@gmail.com,TRUE,,Pamela Boyle,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test23@gmail.com,TRUE,,Angela Branscombe,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test24@gmail.com,TRUE,,debra buckley,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
enterprise,admin,Technician,,,FALSE,QA1test25@gmail.com,TRUE,,Garthur bungay,,+911234567890,,,Offline,s0vyPZsz6YZL68DMCwaW
